,Ticker_Symbol,Years,Period_Ending,Total_Revenue,Cost_of_Goods_Sold,"_Sales,_General_and_Admin._",Research_and_Development,Other_Operating_Items,GICS_Sector,GICS_Sub_Industry,operating income,Years,Gross_profit,operating expenditure
0,AAL,Year 1,12/31/2012,"24,855,000,000.00","10,499,000,000.00","12,977,000,000.00",0.00,"845,000,000.00",Industrials,Airlines,"534,000,000.00",2012,"14,356,000,000.00","13,822,000,000.00"
1,AAL,Year 2,12/31/2013,"26,743,000,000.00","11,019,000,000.00","12,913,000,000.00",0.00,"853,000,000.00",Industrials,Airlines,"1,958,000,000.00",2013,"15,724,000,000.00","13,766,000,000.00"
2,AAL,Year 3,12/31/2014,"42,650,000,000.00","15,620,000,000.00","20,686,000,000.00",0.00,"1,295,000,000.00",Industrials,Airlines,"5,049,000,000.00",2014,"27,030,000,000.00","21,981,000,000.00"
3,AAL,Year 4,12/31/2015,"40,990,000,000.00","11,096,000,000.00","21,275,000,000.00",0.00,"1,364,000,000.00",Industrials,Airlines,"7,255,000,000.00",2015,"29,894,000,000.00","22,639,000,000.00"
4,AAP,Year 1,12/29/2012,"6,205,003,000.00","3,106,967,000.00","2,440,721,000.00",0.00,0.00,Consumer Discretionary,Automotive Retail,"657,315,000.00",2012,"3,098,036,000.00","2,440,721,000.00"
5,AAP,Year 2,12/28/2013,"6,493,814,000.00","3,241,668,000.00","2,591,828,000.00",0.00,0.00,Consumer Discretionary,Automotive Retail,"660,318,000.00",2013,"3,252,146,000.00","2,591,828,000.00"
6,AAP,Year 3,1/3/2015,"9,843,861,000.00","5,390,248,000.00","3,601,903,000.00",0.00,0.00,Consumer Discretionary,Automotive Retail,"851,710,000.00",2015,"4,453,613,000.00","3,601,903,000.00"
7,AAP,Year 4,1/2/2016,"9,737,018,000.00","5,314,246,000.00","3,596,992,000.00",0.00,0.00,Consumer Discretionary,Automotive Retail,"825,780,000.00",2016,"4,422,772,000.00","3,596,992,000.00"
8,AAPL,Year 1,9/28/2013,"170,910,000,000.00","106,606,000,000.00","10,830,000,000.00","4,475,000,000.00",0.00,Information Technology,Computer Hardware,"48,999,000,000.00",2013,"64,304,000,000.00","15,305,000,000.00"
9,AAPL,Year 2,9/27/2014,"182,795,000,000.00","112,258,000,000.00","11,993,000,000.00","6,041,000,000.00",0.00,Information Technology,Computer Hardware,"52,503,000,000.00",2014,"70,537,000,000.00","18,034,000,000.00"
10,AAPL,Year 3,9/26/2015,"233,715,000,000.00","140,089,000,000.00","14,329,000,000.00","8,067,000,000.00",0.00,Information Technology,Computer Hardware,"71,230,000,000.00",2015,"93,626,000,000.00","22,396,000,000.00"
11,AAPL,Year 4,9/24/2016,"215,639,000,000.00","131,376,000,000.00","14,194,000,000.00","10,045,000,000.00",0.00,Information Technology,Computer Hardware,"60,024,000,000.00",2016,"84,263,000,000.00","24,239,000,000.00"
12,ABBV,Year 1,12/31/2012,"18,380,000,000.00","4,508,000,000.00","4,989,000,000.00","2,778,000,000.00",0.00,Health Care,Pharmaceuticals,"6,105,000,000.00",2012,"13,872,000,000.00","7,767,000,000.00"
13,ABBV,Year 2,12/31/2013,"18,790,000,000.00","4,581,000,000.00","5,352,000,000.00","2,855,000,000.00",0.00,Health Care,Pharmaceuticals,"6,002,000,000.00",2013,"14,209,000,000.00","8,207,000,000.00"
14,ABBV,Year 3,12/31/2014,"19,960,000,000.00","4,426,000,000.00","8,474,000,000.00","3,297,000,000.00",0.00,Health Care,Pharmaceuticals,"3,763,000,000.00",2014,"15,534,000,000.00","11,771,000,000.00"
15,ABBV,Year 4,12/31/2015,"22,859,000,000.00","4,500,000,000.00","6,387,000,000.00","4,285,000,000.00",0.00,Health Care,Pharmaceuticals,"7,687,000,000.00",2015,"18,359,000,000.00","10,672,000,000.00"
16,ABC,Year 1,9/30/2013,"87,959,167,000.00","85,451,348,000.00","1,447,234,000.00",0.00,"162,186,000.00",Health Care,Health Care Distributors,"898,399,000.00",2013,"2,507,819,000.00","1,609,420,000.00"
17,ABC,Year 2,9/30/2014,"119,569,127,000.00","116,586,761,000.00","2,011,595,000.00",0.00,"188,680,000.00",Health Care,Health Care Distributors,"782,091,000.00",2014,"2,982,366,000.00","2,200,275,000.00"
18,ABC,Year 3,9/30/2015,"135,961,803,000.00","132,432,490,000.00","2,858,458,000.00",0.00,"248,635,000.00",Health Care,Health Care Distributors,"422,220,000.00",2015,"3,529,313,000.00","3,107,093,000.00"
19,ABC,Year 4,9/30/2016,"146,849,686,000.00","142,577,080,000.00","2,382,097,000.00",0.00,"364,735,000.00",Health Care,Health Care Distributors,"1,525,774,000.00",2016,"4,272,606,000.00","2,746,832,000.00"
20,ABT,Year 1,12/31/2012,"19,050,000,000.00","8,899,000,000.00","6,735,000,000.00","1,461,000,000.00","595,000,000.00",Health Care,Health Care Equipment,"1,360,000,000.00",2012,"10,151,000,000.00","8,791,000,000.00"
21,ABT,Year 2,12/31/2013,"19,657,000,000.00","9,193,000,000.00","6,372,000,000.00","1,371,000,000.00","588,000,000.00",Health Care,Health Care Equipment,"2,133,000,000.00",2013,"10,464,000,000.00","8,331,000,000.00"
22,ABT,Year 3,12/31/2014,"20,247,000,000.00","9,218,000,000.00","6,530,000,000.00","1,345,000,000.00","555,000,000.00",Health Care,Health Care Equipment,"2,599,000,000.00",2014,"11,029,000,000.00","8,430,000,000.00"
23,ABT,Year 4,12/31/2015,"20,405,000,000.00","8,747,000,000.00","6,785,000,000.00","1,405,000,000.00","601,000,000.00",Health Care,Health Care Equipment,"2,867,000,000.00",2015,"11,658,000,000.00","8,791,000,000.00"
24,ADBE,Year 1,11/29/2013,"4,055,240,000.00","586,557,000.00","2,140,578,000.00","826,631,000.00","52,254,000.00",Information Technology,Application Software,"449,220,000.00",2013,"3,468,683,000.00","3,019,463,000.00"
